name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Coletti Markus,6093,🇩🇪 (Germany),347,40-44,https://utmb.world/en/runner/4218846.markus.coletti,Markus COLETTI
Panzer Philipp,6032,🇩🇪 (Germany),343,20-34,https://utmb.world/en/runner/5305464.philipp.panzer,Philipp PANZER
Heidenreich Fynn,6231,🇩🇪 (Germany),331,20-34,https://utmb.world/en/runner/5456390.christian.heidenreich,Christian HEIDENREICH
Hamann Viktor,6272,🇩🇪 (Germany),329,50-54,https://utmb.world/en/runner/4512400.michael.hamann,Michael HAMANN
Abbink Thomas,6285,🇳🇱 (Netherlands),0,50-54,https://utmb.world/en/runner/3882655.simon.abbink,Simon ABBINK
Abdank Calvin,6312,🇦🇹 (Austria),0,,,
Bakun Ivan,6315,🇺🇦 (Ukraine),0,20-34,https://utmb.world/en/runner/1337303.ivan.bakun,Ivan BAKUN
Beadle James,6082,🇬🇧 (United Kingdom),0,45-49,https://utmb.world/en/runner/563030.james.beadle,James BEADLE
Beck Harald,6276,🇱🇮 (Liechtenstein),0,40-44,https://utmb.world/en/runner/4219323.harald.beck,Harald BECK
Beekhuis Klaas,6273,🇳🇱 (Netherlands),0,50-54,https://utmb.world/en/runner/3441439.klaas.beekhuis,Klaas BEEKHUIS
Bidlingmaier Adrian,6324,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/1060089.andreas.bidlingmaier,Andreas BIDLINGMAIER
Blinov Dmitrii,6109,🇷🇺 (Russia),0,35-39,https://utmb.world/en/runner/2418915.dmitrii.blinov,Dmitrii BLINOV
Brandley Declan,6396,🇩🇪 (Germany),0,65-69,https://utmb.world/en/runner/80729.bradley.mason,Bradley MASON
Braunfels Joseph,6291,🇩🇪 (Germany),0,70-74,https://utmb.world/en/runner/62879.horst.brauneis,Horst BRAUNEIS
Bremner Timothy,6177,🇸🇮 (Slovenia),0,55-59,https://utmb.world/en/runner/3523501.timothy.bremner,Timothy BREMNER
Bugiel Daniel,6198,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/5558531.daniel.bugiel,Daniel BUGIEL
Bundschuh Joachim,6260,🇩🇪 (Germany),0,55-59,https://utmb.world/en/runner/511907.achim.bundschuh,Achim BUNDSCHUH
Buth Felix,6056,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/181169.felix.buth,Felix BUTH
Chemnitz Dennis,6222,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/3246243.nico.chemnitz,Nico CHEMNITZ
Dunnett Angus,6280,🇫🇷 (France),0,,,
Egner Wolfgang,6278,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/3155907.manuel.egner,Manuel EGNER
Esterer Andreas,6208,🇦🇹 (Austria),0,20-34,https://utmb.world/en/runner/3034639.andreas.esterer,Andreas ESTERER
Feltges Harry,6140,🇩🇪 (Germany),0,60-64,https://utmb.world/en/runner/66235.harry.feltges,Harry FELTGES
Ferneding Jan,6320,🇩🇪 (Germany),0,65-69,https://utmb.world/en/runner/675276.andree.ferneding,Andree FERNEDING
Foitzik Christian,6084,🇩🇪 (Germany),0,60-64,https://utmb.world/en/runner/62597.andreas.foitzik,Andreas FOITZIK
Franchi Alexander,6100,🇮🇹 (Italy),0,20-34,https://utmb.world/en/runner/4218849.alexander.franchi,Alexander FRANCHI
Gottmann Hans,6242,🇩🇪 (Germany),0,55-59,https://utmb.world/en/runner/80227.alexander.gottmann,Alexander GÖTTMANN
Gould Chris,6154,🇬🇧 (United Kingdom),0,40-44,https://utmb.world/en/runner/1413103.chris.gould,Chris GOULD
Grau Markus,6153,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/29920.philipp.grau,Philipp GRAU
Gruber Werner,6059,🇦🇹 (Austria),0,55-59,https://utmb.world/en/runner/715579.werner.gruber,Werner GRUBER
Gräning Eric,6181,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/5522276.eric.graning,Eric GRÄNING
Gsödl Martin,6235,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/3701023.martin.gsodl,Martin GSÖDL
Gärtner Marius,6064,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/171892.markus.gartner,Markus GÄRTNER
Hannemann Matthias,6346,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/5306948.matthias.hannemann,Matthias HANNEMANN
Hegyi Andreas,6167,🇩🇪 (Germany),0,,,
Henikl Michael,6415,🇦🇹 (Austria),0,20-34,https://utmb.world/en/runner/911839.michael.henokl,Michael HENÖKL
Hinz Daniel,6247,🇦🇹 (Austria),0,45-49,https://utmb.world/en/runner/67722.steffen.hinz,Steffen HINZ
Hipler Sven,6238,🇦🇹 (Austria),0,55-59,https://utmb.world/en/runner/2132193.heiko.hiller,Heiko HILLER
Hugger Markus,6375,🇩🇪 (Germany),0,45-49,https://utmb.world/en/runner/675267.markus.hugger,Markus HUGGER
Jessen Jonas,6053,🇩🇪 (Germany),0,35-39,https://utmb.world/en/runner/5988585.jonas.jessen,Jonas Jessen
