name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Huber Sebastian,4839,🇩🇪 (Germany),522,40-44,https://utmb.world/en/runner/4214602.sebastian.huber,Sebastian HUBER
Larch Andreas,4634,🇦🇹 (Austria),522,40-44,https://utmb.world/en/runner/4219055.andreas.larch,Andreas LARCH
Olivier Nikolai,4216,🇦🇹 (Austria),522,45-49,https://utmb.world/en/runner/1995929.nikolai.olivier,Nikolai OLIVIER
Brettschneider Laurenz,4234,🇩🇪 (Germany),521,45-49,https://utmb.world/en/runner/5615842.frank.brettschneider,Frank BRETTSCHNEIDER
Kleimeyer Christian,4780,🇩🇪 (Germany),518,20-34,https://utmb.world/en/runner/4015826.christian.kleimeyer,Christian KLEIMEYER
Schneider Jan,4499,🇩🇪 (Germany),518,35-39,https://utmb.world/en/runner/5306544.jan.schneider,Jan SCHNEIDER
Stuhlinger Heiner,4524,🇩🇪 (Germany),518,35-39,https://utmb.world/en/runner/5306542.heiner.stuhlinger,Heiner STUHLINGER
Kretz Christopher,4837,🇩🇪 (Germany),517,45-49,https://utmb.world/en/runner/4376750.christoph.aretz,Christoph ARETZ
Peters Luca,4314,🇩🇪 (Germany),517,20-34,https://utmb.world/en/runner/4248944.lucaspeter.ellmer,Lucas Peter ELLMER
Yli-Krekola Juho,4877,🇫🇮 (Finland),517,45-49,https://utmb.world/en/runner/5427748.juho.ylikrekola,Juho YLI-KREKOLA
Venier Mario,4761,🇦🇹 (Austria),516,35-39,https://utmb.world/en/runner/5066145.markus.venier,Markus VENIER
Adler Bernd,4351,🇩🇪 (Germany),515,40-44,https://utmb.world/en/runner/3246353.christopher.adler,Christopher ADLER
Birkenmeier Stefan,4576,🇩🇪 (Germany),515,40-44,https://utmb.world/en/runner/4177083.stefan.birkenmeier,Stefan BIRKENMEIER
Moser Wolfgang,4236,🇦🇹 (Austria),515,60-64,https://utmb.world/en/runner/651791.wolfgang.moser,Wolfgang MOSER
Hilber Jonas,4440,🇮🇹 (Italy),514,20-34,https://utmb.world/en/runner/4460890.jonas.hilber,Jonas HILBER
Holzmüller Michael,4864,🇩🇪 (Germany),514,20-34,https://utmb.world/en/runner/4015913.michael.holzmuller,Michael HOLZMÜLLER
Walz Udo,4612,🇩🇪 (Germany),514,55-59,https://utmb.world/en/runner/4461984.udo.walz,Udo WALZ
Mariacher Florian,4887,🇩🇪 (Germany),509,45-49,https://utmb.world/en/runner/4461136.florian.mariacher,Florian MARIACHER
Burette Louis,4767,🇫🇷 (France),508,20-34,https://utmb.world/en/runner/4260854.louis.burette,Louis BURETTE
Bodenstein Lars,4660,🇩🇪 (Germany),505,50-54,https://utmb.world/en/runner/534409.lars.hohenstein,Lars HOHENSTEIN
Goulaieff Louis,4667,🇫🇷 (France),505,20-34,https://utmb.world/en/runner/4219701.louis.goulaieff,Louis GOULAIEFF
Segal Jérôme,4771,🇫🇷 (France),505,50-54,https://utmb.world/en/runner/181239.jerome.segal,Jerome SEGAL
Egger Gerald,4520,🇦🇹 (Austria),504,20-34,https://utmb.world/en/runner/5444320.gerald.egger,Gerald EGGER
Grabner Patrick,4402,🇦🇹 (Austria),504,35-39,https://utmb.world/en/runner/4461392.patrick.grabner,Patrick GRABNER
Baruk Andreas,4813,🇦🇹 (Austria),502,20-34,https://utmb.world/en/runner/4248891.andreas.baruk,Andreas BARUK
Jenewein Christian,4369,🇦🇹 (Austria),502,35-39,https://utmb.world/en/runner/3034669.christian.jenewein,Christian JENEWEIN
Lackner Philipp,4793,🇦🇹 (Austria),501,40-44,https://utmb.world/en/runner/968245.philipp.lackner,Philipp LACKNER
Röhrl Florian,4669,🇩🇪 (Germany),501,20-34,https://utmb.world/en/runner/5286818.florian.rohrl,Florian RÖHRL
Stocker Simon,4324,🇩🇪 (Germany),501,20-34,https://utmb.world/en/runner/4462028.simon.stocker,Simon STOCKER
Weichert Stefan,4388,🇩🇪 (Germany),501,40-44,https://utmb.world/en/runner/5328664.stefan.weichert,Stefan WEICHERT
de Boer Peter,4488,🇳🇱 (Netherlands),501,50-54,https://utmb.world/en/runner/5062069.peter.deboer,Peter DE BOER
Bradley Chris,4754,🇬🇧 (United Kingdom),500,40-44,https://utmb.world/en/runner/4677696.chris.bradley,Chris BRADLEY
Fiks Thomas,4310,🇩🇪 (Germany),499,35-39,https://utmb.world/en/runner/1393093.thomas.fiks,Thomas FIKS
Rosenecker Tobias,4377,🇩🇪 (Germany),499,20-34,https://utmb.world/en/runner/5407956.tobias.rosenecker,Tobias ROSENECKER
Buchberger Roland,4594,🇦🇹 (Austria),497,45-49,https://utmb.world/en/runner/2124881.roland.buchberger,Roland BUCHBERGER
Llano Carlos,4298,🇪🇸 (Spain),497,40-44,https://utmb.world/en/runner/193148.carlos.llanofernandez,Carlos LLANO FERNANDEZ
